type,path,expected_size,actual_size,expected_hash,actual_hash,status
CONFIG,hydrology/groundwater_storage/processing_log.yaml,1433,1433,11d2a0ec426dc33433b8c97cab1d1d8771f16e18f68c940ec4ccc871fdca9246,11d2a0ec426dc33433b8c97cab1d1d8771f16e18f68c940ec4ccc871fdca9246,PASSED
CONFIG,hydrology/rootzone_soil_moisture/resolved_config.yaml,4465,4465,b3cda8a8909c3c16d0aff3fdad9da77e55c842701c074caec7612b04967e4e5e,b3cda8a8909c3c16d0aff3fdad9da77e55c842701c074caec7612b04967e4e5e,PASSED
OTHER,hydrology/rootzone_soil_moisture/01_rootzone_soil_moisture_annual_mean_2016.pdf,142392,142392,2f6ce6816a5e1fa446f007a9c448a908fbd724ed01a17fdd635c752193ed397a,2f6ce6816a5e1fa446f007a9c448a908fbd724ed01a17fdd635c752193ed397a,PASSED
IMAGE,hydrology/rootzone_soil_moisture/rootzone_soil_moisture_domain_mean_timeseries_2016.png,317434,317434,0f3d22e25dd5bf27959d22757557bb3633ebfb8f4224b66c2bfe03549dea895d,0f3d22e25dd5bf27959d22757557bb3633ebfb8f4224b66c2bfe03549dea895d,PASSED
IMAGE,hydrology/rootzone_soil_moisture/rootzone_soil_moisture_differences_2016.png,202208,202208,4ee5559c84f52a3d0123a1830281b6df61d24e73577b841fcf4cab33fb76a04d,4ee5559c84f52a3d0123a1830281b6df61d24e73577b841fcf4cab33fb76a04d,PASSED
METRICS,hydrology/rootzone_soil_moisture/rootzone_soil_moisture_differences_2016.json,331,331,93656884f0dd2c088703f946c9d129e0a2d6a9a215e15aeedac4b74c6b5dec96,93656884f0dd2c088703f946c9d129e0a2d6a9a215e15aeedac4b74c6b5dec96,PASSED
METRICS,hydrology/rootzone_soil_moisture/rootzone_soil_moisture_domain_mean_timeseries_2016.json,348,348,759862617599ae95ca9e35bb24cb157ce4df0b5d1a1b817c0980cad418b0a04a,759862617599ae95ca9e35bb24cb157ce4df0b5d1a1b817c0980cad418b0a04a,PASSED
IMAGE,hydrology/rootzone_soil_moisture/rootzone_soil_moisture_annual_mean_2016.png,185070,185070,3f2be75d93b57d5ce6db7730a0a6cd05700cd9268985fdfd08cf55c213f141ff,3f2be75d93b57d5ce6db7730a0a6cd05700cd9268985fdfd08cf55c213f141ff,PASSED
OTHER,hydrology/rootzone_soil_moisture/02_rootzone_soil_moisture_differences_2016.pdf,166327,166327,b2281a09b30a5e0db935d7d0fb58b53c90a761c476672eb7c4e06862ace6e74e,b2281a09b30a5e0db935d7d0fb58b53c90a761c476672eb7c4e06862ace6e74e,PASSED
METRICS,hydrology/rootzone_soil_moisture/rootzone_soil_moisture_annual_mean_2016.json,333,333,50212e8acd530523ef93a98d44c1eda3f7de3c753f2d95443ebd23ba00586724,50212e8acd530523ef93a98d44c1eda3f7de3c753f2d95443ebd23ba00586724,PASSED
IMAGE,hydrology/rootzone_soil_moisture/03_rootzone_soil_moisture_domain_mean_timeseries_2016.png,812660,812660,ece0117cd3c4d660f29d951caa99314b750ce88eac756fe7fa60ba7cfa6966a1,ece0117cd3c4d660f29d951caa99314b750ce88eac756fe7fa60ba7cfa6966a1,PASSED
IMAGE,hydrology/rootzone_soil_moisture/02_rootzone_soil_moisture_differences_2016.png,660192,660192,1baa5ef1b797dba424534c9f2cbbe16c95c5d6b06fb8200427f48b82f21ee1db,1baa5ef1b797dba424534c9f2cbbe16c95c5d6b06fb8200427f48b82f21ee1db,PASSED
OTHER,hydrology/rootzone_soil_moisture/03_rootzone_soil_moisture_domain_mean_timeseries_2016.pdf,29814,29814,01dea5838fec0d2a71ff585c56b8879f12dca21e45ce2b48182731feaa57fbc1,01dea5838fec0d2a71ff585c56b8879f12dca21e45ce2b48182731feaa57fbc1,PASSED
IMAGE,hydrology/rootzone_soil_moisture/01_rootzone_soil_moisture_annual_mean_2016.png,534527,534527,f8c74519f2c1cc29a971954e2258d041cbdff45a72ee9777b76dee58438dcbbe,f8c74519f2c1cc29a971954e2258d041cbdff45a72ee9777b76dee58438dcbbe,PASSED
CONFIG,hydrology/rootzone_soil_moisture/processing_log.yaml,1500,1500,8b42b38e676619d9519103491dc388002fd4f69eaaf544478f52240acbf9ec36,8b42b38e676619d9519103491dc388002fd4f69eaaf544478f52240acbf9ec36,PASSED
IMAGE,hydrology/water_table_depth/water_table_depth_differences_2016.png,209357,209357,67285ddaae71a94922cb85b646cefbcef4624047be25b504bf2a038e7e064984,67285ddaae71a94922cb85b646cefbcef4624047be25b504bf2a038e7e064984,PASSED
CONFIG,hydrology/water_table_depth/resolved_config.yaml,4353,4353,8497d2fb82f2480a8edff606a7781e7dba1a32dcb3053cb8d9cfc77bc5ae40a7,8497d2fb82f2480a8edff606a7781e7dba1a32dcb3053cb8d9cfc77bc5ae40a7,PASSED
